state,county,agency,cand_rank,leaic_name,leaic_county,ORI9,match_dist,county_close,digits_ok,accepted,crime_ori
Arkansas,Pulaksi County,Arkansas Department of Corrections,1,ARKANSAS CITY POLICE DEPARTMENT,DESHA,AR0210200,0.11578947368421055,FALSE,TRUE,FALSE,NA
Arkansas,Pulaksi County,Arkansas Department of Corrections,1,ARKANSAS CITY POLICE DEPARTMENT,DESHA,AR0210200,0.11578947368421055,FALSE,TRUE,FALSE,NA
Florida,NA,Boca Raton Police Services Department,1,BOCA RATON POLICE DEPARTMENT,PALM BEACH,FL0500200,0.09411764705882357,FALSE,TRUE,FALSE,NA
Florida,NA,Florida A&M University Board of Trustees,1,FLORIDA A & M UNIVERSITY POLICE,LEON,FL0370700,0.08125000000000003,FALSE,TRUE,FALSE,NA
Florida,Broward County,Florida Atlantic Police Department,1,FLORIDA ATLANTIC UNIVERSITY POLICE,PALM BEACH,FL0503700,0.08000000000000002,FALSE,TRUE,FALSE,NA
Florida,Broward County,Florida Atlantic Police Department,2,FLORIDA CITY POLICE DEPARTMENT,MIAMI-DADE,FL0130300,0.10666666666666667,FALSE,TRUE,FALSE,NA
Florida,NA,"Florida Department of Environmental Protection, Division of Law Enforcement",1,FL DEPT OF ENVIRONMENTAL PROTECT LE ENV INVEST,BAY,FL0034200,0.08457708720866618,FALSE,TRUE,FALSE,NA
Florida,NA,"Florida Department of Environmental Protection, Division of Law Enforcement",2,FL DEPT OF ENVIRONMENTAL PROTECT LE ENV INVEST,MIAMI-DADE,FL0134500,0.08457708720866618,FALSE,TRUE,FALSE,NA
Florida,NA,"Florida Department of Environmental Protection, Division of Law Enforcement",3,FL DEPT OF ENVIRONMENTAL PROTECT LE ENV INVEST,DUVAL,FL0162600,0.08457708720866618,FALSE,TRUE,FALSE,NA
Florida,#Na,Florida Fish & Wildlife Conservation Commission,1,FL FISH AND WILDLIFE CONSERVATION COMMISSION,BREVARD,FL0054000,3.3306690738754695e-17,FALSE,TRUE,FALSE,NA
Florida,#Na,Florida Fish & Wildlife Conservation Commission,2,FL FISH AND WILDLIFE CONSERVATION COMMISSION,MIAMI-DADE,FL0134000,3.3306690738754695e-17,FALSE,TRUE,FALSE,NA
Florida,#Na,Florida Fish & Wildlife Conservation Commission,3,FL FISH AND WILDLIFE CONSERVATION COMMISSION,HILLSBOROUGH,FL0294000,3.3306690738754695e-17,FALSE,TRUE,FALSE,NA
Florida,NA,Florida Polytechnic University Police Department,1,FLORIDA ATLANTIC UNIVERSITY POLICE,PALM BEACH,FL0503700,0.11231168831168833,FALSE,TRUE,FALSE,FL0530600
Florida,NA,Florida State Guard,1,FLORIDA STATE UNIVERSITY POLICE,LEON,FL0370600,0.10802139037433156,FALSE,TRUE,FALSE,NA
Florida,NA,Florida State Guard,2,FLORIDA CITY POLICE DEPARTMENT,MIAMI-DADE,FL0130300,0.11764705882352945,FALSE,TRUE,FALSE,NA
Florida,Miami-Dade County,Miami-Dade Sheriff's Office,1,MIAMI-DADE (COUNTY) POLICE DEPARTMENT,MIAMI-DADE,FL0130000,0.08750000000000002,TRUE,TRUE,FALSE,NA
Florida,Miami-Dade County,Miami-Dade Sheriff's Office,2,MIAMI DADE POLICE DEPARTMENT,MIAMI-DADE,FL0136800,0.08750000000000002,TRUE,TRUE,FALSE,NA
Florida,Miami-Dade County,Miami-Dade Sheriff's Office,3,MIAMI DADE POLICE DEPARTMENT,MIAMI-DADE,FL0136900,0.08750000000000002,TRUE,TRUE,FALSE,NA
Florida,Gadsden County,Midway Police Department,1,MIDWAY POLICE DEPARTMENT MIDWAY,GADSDEN,FL0200500,0.10000000000000002,TRUE,TRUE,FALSE,FL0200500
Florida,Duval County,Neptune Beach Police Department,1,NEPTUNE BEACH PUBLIC SAFETY DEPARTMENT,DUVAL,FL0160400,0.10000000000000002,TRUE,TRUE,TRUE,FL0160400
Florida,NA,North Palm Beach Police Department,1,NORTH MIAMI BEACH POLICE DEPARTMENT,MIAMI-DADE,FL0131000,0.08523809523809532,FALSE,TRUE,FALSE,FL0502300
Florida,NA,North Palm Beach Police Department,2,NORTH PALM BEACH PUBLIC SAFETY DEPARTMENT,PALM BEACH,FL0502300,0.09230769230769235,FALSE,TRUE,FALSE,FL0502300
Florida,NA,Ocean Ridge Police Department,1,OCEAN RIDGE PUBLIC SAFETY DEPT.,PALM BEACH,FL0502400,0.10909090909090911,FALSE,TRUE,FALSE,FL0502400
Florida,NA,Palm Springs Police Department,1,PALM SPRINGS PUBLIC SAFETY DEPT.,PALM BEACH,FL0502700,0.10434782608695657,FALSE,TRUE,FALSE,FL0502700
Florida,NA,Sunny Isles Police Department,1,SUNNY ISLES BEACH POLICE DEPARTMENT,MIAMI-DADE,FL0135100,0.06666666666666672,FALSE,TRUE,FALSE,NA
Florida,NA,Tallahassee State College Police Department,1,TALLAHASSEE POLICE DEPARTMENT,LEON,FL0370300,0.10434782608695657,FALSE,TRUE,FALSE,NA
Georgia,Walton County,Social Circle Police Department,1,SOCIAL CIRCLE DEPT. OF PUBLIC SAFETY,WALTON,GA1470300,0.10000000000000002,TRUE,TRUE,TRUE,GA1470300
Indiana,Henry County,Greensboro Police Department,1,GREENSBURG POLICE,DECATUR,IN0160100,0.08000000000000002,FALSE,TRUE,FALSE,NA
Indiana,Henry County,Greensboro Police Department,2,GREENS FORK POLICE DEPT,WAYNE,IN0890600,0.08000000000000002,FALSE,TRUE,FALSE,NA
Indiana,Henry County,Greensboro Police Department,3,GREENWOOD POLICE,JOHNSON,IN0410300,0.10444444444444446,FALSE,TRUE,FALSE,NA
Indiana,Henry County,Kennard Police Department,1,KENNARD PD NEW CASTLE,HENRY,IN0330800,0.11250000000000003,TRUE,TRUE,FALSE,NA
Indiana,Dekalb County,Waterloo Marshal's Office,1,WATERLOO POLICE,DE KALB,IN0170400,0.09333333333333338,TRUE,TRUE,FALSE,NA
Indiana,Dearborn County,West Harrison Police Department,1,SP: HARRISON COUNTY,HARRISON,IN331SP00,0.11666666666666675,FALSE,TRUE,FALSE,NA
Indiana,White County,Wolcott Police Department,1,WOLCOTTVILLE POLICE,LA GRANGE,IN0570700,0.08333333333333333,FALSE,TRUE,FALSE,NA
Louisiana,Livingston Parish,Denham Springs City Marshal,1,DENHAM SPRINGS POLICE DEPARTMENT,LIVINGSTON,LA0320100,0.07000000000000005,TRUE,TRUE,FALSE,NA
Louisiana,Livingston Parish,Denham Springs City Marshal,2,DENHAM SPRINGS POLICE DEPARTMENT,LIVINGSTON,LA0321100,0.07000000000000005,TRUE,TRUE,FALSE,NA
Louisiana,East Feliciana Parish,Jackson Marshals Office,1,JACKSON POLICE DEPARTMENT,EAST FELICIANA,LA0190200,0.10000000000000002,TRUE,TRUE,FALSE,NA
Louisiana,#Na,Louisiana Department of Public Safety & Corrections,1,LA DEPT OF PUBLIC SAFETY STATE POLICE HDQ,EAST BATON ROUGE,LALSP3100,0.092816091954023,FALSE,TRUE,FALSE,NA
Louisiana,#Na,Louisiana Department of Public Safety & Corrections,1,LA DEPT OF PUBLIC SAFETY STATE POLICE HDQ,EAST BATON ROUGE,LALSP3100,0.092816091954023,FALSE,TRUE,FALSE,NA
Louisiana,NA,Louisiana Military Department,1,LA MEDICAL CENTER POLICE DEPARTMENT,ORLEANS,LA0362400,0.1071657754010696,FALSE,TRUE,FALSE,NA
Louisiana,NA,Louisiana Military Department,2,LOUISIANA STATE POLICE,EAST BATON ROUGE,LALSP0000,0.11344537815126048,FALSE,TRUE,FALSE,NA
Louisiana,NA,Louisiana Military Department,3,LA STATE POLICE,EAST BATON ROUGE,LADPS0000,0.11344537815126048,FALSE,TRUE,FALSE,NA
Louisiana,Allen Parish,Ward 5 Marshal's Office,1,WARD TWO MARSHALS OFFICE,LIVINGSTON,LA0320900,0.05952380952380952,FALSE,FALSE,FALSE,NA
Massachusetts,NA,Massachusetts Department of Corrections,1,MASSACHUSETTS STATE POLICE,MIDDLESEX,MAMSP0000,0.10138888888888896,FALSE,TRUE,FALSE,NA
Massachusetts,NA,Massachusetts Department of Corrections,2,MASSACHUSETTS STATE POLICE,MIDDLESEX,MA0131100,0.10138888888888896,FALSE,TRUE,FALSE,NA
Massachusetts,NA,Massachusetts Department of Corrections,3,MASSACHUSETTS STATE POLICE,MIDDLESEX,MA0134400,0.10138888888888896,FALSE,TRUE,FALSE,NA
Michigan,Berrian County,Berrian County Sheriff's Office,1,BERRIEN COUNTY SHERIFF'S OFFICE,BERRIEN,MI1111100,0.05934065934065934,TRUE,TRUE,TRUE,NA
Mississippi,Hinds County,Mississippi Department of Corrections,1,MISSISSIPPI BUREAU OF NARCOTICS,HINDS,MS0250500,0.07612387612387618,TRUE,TRUE,FALSE,NA
Mississippi,Hinds County,Mississippi Department of Corrections,1,MISSISSIPPI BUREAU OF NARCOTICS,HINDS,MS0250500,0.07612387612387618,TRUE,TRUE,FALSE,NA
Mississippi,Hinds County,Mississippi Department of Corrections,1,MISSISSIPPI BUREAU OF NARCOTICS,HINDS,MS0250500,0.07612387612387618,TRUE,TRUE,FALSE,NA
Mississippi,Hinds County,Mississippi Department of Corrections,2,MS COLLEGE CAMPUS PD CLINTON,HINDS,MS0250900,0.1091495601173021,TRUE,TRUE,FALSE,NA
Mississippi,Hinds County,Mississippi Department of Corrections,2,MS COLLEGE CAMPUS PD CLINTON,HINDS,MS0250900,0.1091495601173021,TRUE,TRUE,FALSE,NA
Mississippi,Hinds County,Mississippi Department of Corrections,2,MS COLLEGE CAMPUS PD CLINTON,HINDS,MS0250900,0.1091495601173021,TRUE,TRUE,FALSE,NA
Mississippi,Hinds County,Mississippi Department of Public Safety,1,MS DEPART OF PUBLIC SAFETY,RANKIN,MSDPS0100,0.08920539730134928,FALSE,TRUE,FALSE,NA
Mississippi,Hinds County,Mississippi Department of Public Safety,2,MS DEPT PUB SAF CRIM INFO CENTER,RANKIN,MSDPS0200,0.10571695718960801,FALSE,TRUE,FALSE,NA
Mississippi,Hinds County,Mississippi Department of Public Safety,3,MISSISSIPPI STATE CAPITOL POLICE,HINDS,MS0251900,0.1116704805491991,TRUE,TRUE,FALSE,NA
Mississippi,Hinds County,Mississippi Office of the State Auditor,1,MISSISSIPPI STATE CAPITOL POLICE,HINDS,MS0251900,0.05217391304347834,TRUE,TRUE,FALSE,NA
Mississippi,Hinds County,Mississippi Office of the State Auditor,2,MS STATE HOSPITAL SECURITY POLICE DIV,RANKIN,MS0610800,0.09900621118012423,FALSE,TRUE,FALSE,NA
Mississippi,Hinds County,Mississippi Office of the State Auditor,3,MS DEPART OF PUBLIC SAFETY,RANKIN,MSDPS0100,0.11542086099807244,FALSE,TRUE,FALSE,NA
Missouri,NA,Missouri Highway Patrol,1,MO HIGHWAY PATROL LATENTS,COLE,MOMHP0100,0.05000000000000003,FALSE,TRUE,FALSE,NA
Missouri,NA,Missouri Highway Patrol,2,MO HIGHWAY PATROL WATER PATROL,COLE,MOMHPWP00,0.06875000000000003,FALSE,TRUE,FALSE,NA
Missouri,NA,Missouri Highway Patrol,3,MISSOURI STATE HIGHWAY PATROL,COLE,MOMHP0000,0.08608058608058615,FALSE,TRUE,FALSE,NA
Missouri,Franklin County,Oak Grove Village Police Department,1,OAK GROVE POLICE DEPARTMENT,JACKSON,MO0480900,3.3306690738754695e-17,FALSE,TRUE,FALSE,MO0480900
Missouri,Franklin County,Oak Grove Village Police Department,2,OAK GROVE VILLAGE PD SULLIVAN,FRANKLIN,MO0361000,0.10000000000000002,TRUE,TRUE,FALSE,MO0480900
New York,Nassau County,Nassau County Sheriff's Office,1,NASSAU CO SHERIFF'S DEPARTMENT MINEOLA,NASSAU,NY0299000,0.07000000000000005,TRUE,TRUE,FALSE,NA
New York,Nassau County,Nassau County Sheriff's Office,2,NASSAU COUNTY POLICE DEPARTMENT,NASSAU,NY0290000,0.10769230769230768,TRUE,TRUE,FALSE,NA
New York,Nassau County,Nassau County Sheriff's Office,3,NASSAU VILLAGE POLICE DEPARTMENT,RENSSELAER,NY0412100,0.10769230769230768,FALSE,TRUE,FALSE,NA
Oklahoma,NA,Oklahoma Bureau of Investigation,1,OK STATE BUREAU OF INVESTIGATION,OKLAHOMA,OK0BI0100,0.09050925925925928,FALSE,TRUE,FALSE,NA
Oklahoma,NA,Oklahoma Bureau of Investigation,2,OKLAHOMA STATE BUREAU OF INVESTIGATION,OKLAHOMA,OK0BI0200,0.09050925925925928,FALSE,TRUE,FALSE,NA
Oklahoma,NA,Oklahoma Bureau of Investigation,3,OKLAHOMA STATE BUREAU OF INVESTIGATION,OKLAHOMA,OK0BI0300,0.09050925925925928,FALSE,TRUE,FALSE,NA
Oklahoma,NA,Oklahoma Department of Corrections,1,OKLAHOMA BUREAU OF NARCOTICS,OKLAHOMA,OK0552000,0.08733790999237227,FALSE,TRUE,FALSE,OK055025C
Oklahoma,NA,Oklahoma Department of Corrections,1,OKLAHOMA BUREAU OF NARCOTICS,OKLAHOMA,OK0552000,0.08733790999237227,FALSE,TRUE,FALSE,OK055025C
Oklahoma,NA,Oklahoma Department of Corrections,2,OKLAHOMA CITY POLICE DEPARTMENT,OKLAHOMA,OK0550600,0.11578947368421055,FALSE,TRUE,FALSE,OK055025C
Oklahoma,NA,Oklahoma Department of Corrections,2,OKLAHOMA CITY POLICE DEPARTMENT,OKLAHOMA,OK0550600,0.11578947368421055,FALSE,TRUE,FALSE,OK055025C
Oklahoma,NA,Oklahoma Department of Corrections,3,OKLAHOMA CITY POLICE DEPARTMENT,OKLAHOMA,OK0553400,0.11578947368421055,FALSE,TRUE,FALSE,OK055025C
Oklahoma,NA,Oklahoma Department of Corrections,3,OKLAHOMA CITY POLICE DEPARTMENT,OKLAHOMA,OK0553400,0.11578947368421055,FALSE,TRUE,FALSE,OK055025C
Pennsylvania,Cambria County,Cambria County Prison,1,CAMBRIA TOWNSHIP POLICE DEPARTMENT,CAMBRIA,PA0112000,0.09230769230769235,TRUE,TRUE,FALSE,NA
Pennsylvania,Cambria County,Cambria County Prison,2,CAMBRIA COUNTY POLICE DEPARTMENT,CAMBRIA,PA0116700,0.09230769230769235,TRUE,TRUE,FALSE,NA
Pennsylvania,NA,Damascus Township Constable,1,DAMASCUS PD,WAYNE,PA0640900,0.10588235294117647,FALSE,TRUE,FALSE,NA
Pennsylvania,Erie County,Greene Township Constable's Office,1,GREENCASTLE BOROUGH POLICE DEPARTMENT,FRANKLIN,PA0280200,0.08969696969696968,FALSE,TRUE,FALSE,NA
Pennsylvania,Erie County,Greene Township Constable's Office,2,GREENE TOWNSHIP PD JAMESTOWN,MERCER,PA0432000,0.11333333333333331,FALSE,TRUE,FALSE,NA
Pennsylvania,Delaware County,Lansdowne Borough Constable's Office,1,LANSDOWNE BOROUGH POLICE DEPARTMENT,DELAWARE,PA0231500,0.10000000000000002,TRUE,TRUE,FALSE,NA
Pennsylvania,Lebanon County,Lebanon County Regional Police Department,1,LEBANON POLICE DEPARTMENT,LEBANON,PA0380200,0.10666666666666667,TRUE,TRUE,FALSE,PA0384100
Pennsylvania,Miffin County,Lewistown Borough Constable's Office,1,LEWISTOWN POLICE DEPARTMENT,MIFFLIN,PA0441200,0.10000000000000002,TRUE,TRUE,FALSE,NA
Pennsylvania,Montour County,Mahoning TWP Police Department - Montour,1,MAHONING TOWNSHIP POLICE DEPARTMENT,MONTOUR,PA0470200,0.09333333333333338,TRUE,TRUE,FALSE,PA0470200
Pennsylvania,Montour County,Mahoning TWP Police Department - Montour,2,MAHONING TOWNSHIP POLICE DEPARTMENT,CARBON,PA0131000,0.09333333333333338,FALSE,TRUE,FALSE,PA0470200
Pennsylvania,Lawrence,Mahoning Township Police Department,1,MAHONING TOWNSHIP POLICE DEPARTMENT,CARBON,PA0131000,3.3306690738754695e-17,FALSE,TRUE,FALSE,NA
Pennsylvania,Lawrence,Mahoning Township Police Department,2,MAHONING TOWNSHIP POLICE DEPARTMENT,MONTOUR,PA0470200,3.3306690738754695e-17,FALSE,TRUE,FALSE,NA
Pennsylvania,Lawrence,Mahoning Township Police Department,3,MAHONING TOWNSHIP PD HILLSVILLE,LAWRENCE,PA0372000,0.1111111111111111,TRUE,TRUE,FALSE,NA
Pennsylvania,NA,Northwest Regional Police Department,1,NORTHEASTERN REGIONAL POLICE DEPARTMENT,YORK,PA0671600,0.10176470588235297,FALSE,TRUE,FALSE,NA
Pennsylvania,NA,Northwest Regional Police Department,2,NORTHWEST LANCASTER CO. REGIONAL POLICE DEPARTMENT,LANCASTER,PA0362600,0.11628959276018104,FALSE,TRUE,FALSE,NA
Pennsylvania,Chester County,Pennsylvania State Constable Office Honey Brook Precinct 1,1,PA STATE POLICE PROTECTION FROM ABUSE,CHESTER,PAPFA2700,0.10939393939393939,TRUE,FALSE,FALSE,NA
Pennsylvania,Chester County,Pennsylvania State Constable Office Honey Brook Precinct 1,2,PA STATE POLICE PROTECTION FROM ABUSE,BEAVER,PAPFA0300,0.10939393939393939,FALSE,FALSE,FALSE,NA
Pennsylvania,Chester County,Pennsylvania State Constable Office Honey Brook Precinct 1,3,PA STATE POLICE PROTECTION FROM ABUSE,BEDFORD,PAPFA0400,0.10939393939393939,FALSE,FALSE,FALSE,NA
Pennsylvania,Cumberland County,Pennsylvania State Constable's Office So Middleton Twp,1,PA STATE POLICE PROTECTION FROM ABUSE,CUMBERLAND,PAPFA1000,0.09569408117795215,TRUE,TRUE,FALSE,NA
Pennsylvania,Cumberland County,Pennsylvania State Constable's Office So Middleton Twp,2,PA STATE POLICE PROTECTION FROM ABUSE,BEAVER,PAPFA0300,0.09569408117795215,FALSE,TRUE,FALSE,NA
Pennsylvania,Cumberland County,Pennsylvania State Constable's Office So Middleton Twp,3,PA STATE POLICE PROTECTION FROM ABUSE,BEDFORD,PAPFA0400,0.09569408117795215,FALSE,TRUE,FALSE,NA
Pennsylvania,Cumberland County,"Pennsylvania State Constable's Office, Cooke Township",1,PENNSYLVANIA STATE POLICE KANE,MCKEAN,PAPSP4400,0.07880184331797244,FALSE,TRUE,FALSE,NA
Pennsylvania,Cumberland County,"Pennsylvania State Constable's Office, Cooke Township",2,PA STATE POLICE LYKENS,DAUPHIN,PAPFA5100,0.08948744103021807,FALSE,TRUE,FALSE,NA
Pennsylvania,Cumberland County,"Pennsylvania State Constable's Office, Cooke Township",3,PENNSYLVANIA STATE POLICE,DAUPHIN,PAPSP0000,0.09032258064516133,FALSE,TRUE,FALSE,NA
Pennsylvania,NA,Sewickley Township Constable's Office,1,SEWICKLEY BOROUGH POLICE DEPARTMENT,ALLEGHENY,PA0022300,0.10000000000000002,FALSE,TRUE,FALSE,NA
Pennsylvania,Pike County,Shohola Township Constable's Office,1,SHOHOLA TOWNSHIP POLICE DEPARTMENT,PIKE,PA0520600,0.11250000000000003,TRUE,TRUE,FALSE,NA
Pennsylvania,Washington County,Union Township Police Department,1,UNION CITY BOROUGH POLICE DEPARTMENT,ERIE,PA0250700,3.3306690738754695e-17,FALSE,TRUE,FALSE,PA0250700
Pennsylvania,Washington County,Union Township Police Department,2,UNION TOWNSHIP POLICE DEPARTMENT,LAWRENCE,PA0370800,3.3306690738754695e-17,FALSE,TRUE,FALSE,PA0250700
Pennsylvania,Washington County,Union Township Police Department,3,UNION TWP POLICE DEPT,SCHUYLKILL,PA0543000,3.3306690738754695e-17,FALSE,TRUE,FALSE,PA0250700
Pennsylvania,York County,York County Regional Police Department,1,YORK AREA REGIONAL POLICE DEPARTMENT,YORK,PA0673200,0.10833333333333332,TRUE,TRUE,FALSE,PA0676600
South Carolina,Laurens County,Clinton Police Department,1,CLIO POLICE DEPARTMENT,MARLBORO,SC0350300,0.10000000000000009,FALSE,TRUE,FALSE,SC0300200
Tennessee,Louden County,Louden County Sheriff's Office,1,LOUDON COUNTY SHERIFF'S OFFICE,LOUDON,TN0530000,0.06410256410256408,TRUE,TRUE,TRUE,NA
Tennessee,Louden County,Louden County Sheriff's Office,1,LOUDON COUNTY SHERIFF'S OFFICE,LOUDON,TN0530000,0.06410256410256408,TRUE,TRUE,TRUE,NA
Tennessee,NA,Tennessee Department of Corrections,1,TN TECH CTR: MORRISTOWN,HAMBLEN,TN0320A00,0.09615384615384619,FALSE,TRUE,FALSE,NA
Tennessee,NA,Tennessee Department of Corrections,2,TN TECH CTR: DICKSON,DICKSON,TN0220A00,0.10236714975845411,FALSE,TRUE,FALSE,NA
Tennessee,NA,Tennessee Department of Corrections,3,TN TECH CTR: PARIS,HENRY,TN0400A00,0.10338935574229693,FALSE,TRUE,FALSE,NA
Tennessee,NA,Tennessee Department of Safety and Homeland Security,1,TENNESSEE TECH UNIVERSITY,PUTNAM,TN0710500,0.10608695652173916,FALSE,TRUE,FALSE,NA
Tennessee,NA,Tennessee Department of Safety and Homeland Security,2,TN TECH CTR: ONEIDA,SCOTT,TN0760A00,0.1131818181818182,FALSE,TRUE,FALSE,NA
